,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                        ВО «Батьківщина» ,           Бухарєв В.В. ,             162 ,    162 ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,         Одарченко Ю.В. ,             183 ,    183 ,      ВОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        ВО «Батьківщина» ,         Тимошенко Ю.В. ,                 ,        ,      ВОБ ,                                   ,                                    ,                                      ,                                        ,
,                        ВО «Батьківщина» ,           Луценко І.В. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,           Соболєв С.В. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,             Шкрум А.І. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,           Івченко В.Є. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,            Немиря Г.М. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,           Крулько І.І. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,            Рябчин О.М. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,           Тарасюк Б.І. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,        Кожем'якін А.А. ,                 ,        ,      ВОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        ВО «Батьківщина» ,         Кириленко І.Г. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,          Власенко С.В. ,                 ,        ,      ВОБ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,            Кужель О.В. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,          Абдуллін О.Р. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,         Кондратюк О.К. ,                 ,        ,      ВОБ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                        ВО «Батьківщина» ,            Дубіль В.О. ,                 ,        ,      ВОБ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                          Народний фронт ,              Гузь І.В. ,              19 ,     19 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,             Лапін І.О. ,              22 ,     22 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,            Кришин О.Ю. ,              34 ,     34 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,           Дзюблик П.В. ,              66 ,     66 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,             Дирів А.Б. ,              86 ,     86 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,         Тимошенко Ю.В. ,              88 ,     88 ,       НФ ,                                   ,                                    ,                                      ,                                        ,
